male,round,trial_round,date,motif_count.x,motif_count.y,motif_prop,temp_mean,humidity_mean,chamber,counter,test_order,temp_target,temp_median,motif_rate,mass,bill_length,bill_depth,bill_width,bill_date,n_obs_completed,motif_count_plus_1,log_motif_count_plus_1,temp,count_total_round,n_obs_round,count_mean_round,count_sd_round,count_cv_round,count_total,n_obs,count_mean,trial,motif_prop_round,weights,svp,vpd,vpd_offset,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_length_sum,song_length_sd,song_motif_length_mean,song_motif_length_sd,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,motif,post_song_motif,notes,song_start,song_end,song_length,date_file,motif_misc
T229,1,1,2022-02-13,0,0,0,45.84946,9.263441,6,KIM,1,44,46,NA,NA,NA,NA,NA,NA,TRUE,1,0,45.84946,651,5,130.2,129.65415535184363,0.9958076447914258,1833,13,141,1,0,1,105.66141489927209,95.8735320703128,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T229,1,2,2022-02-15,24,24,0.01309328968903437,42.28226,9.849462,6,KIM,2,42,42.5,NA,NA,NA,NA,NA,NA,TRUE,25,3.2188758248682006,42.28226,651,5,130.2,129.65415535184363,0.9958076447914258,1833,13,141,2,0.03686635944700461,0.04,87.20002023907328,78.61128738163345,NA,7,22,3.142857142857143,1.0690449676496976,26,1.4960264830861913,1.1595238095238094,0.15630488454049324,2,0.09090909090909091,NA,NA,NA,2,NA,,NA,NA,NA,NA,2
T229,1,3,2022-02-17,114,114,0.062193126022913256,40.65323,18.33065,6,KIM,3,40,40.5,NA,NA,NA,NA,NA,NA,TRUE,115,4.74493212836325,40.65323,651,5,130.2,129.65415535184363,0.9958076447914258,1833,13,141,3,0.17511520737327188,0.008695652173913044,79.76269039011476,65.14167078411919,NA,28,85,3.0357142857142856,1.3188699668344825,103,2.000991817566542,1.1821428571428572,0.2239712913071807,12,0.1411764705882353,NA,NA,NA,29,NA,,NA,NA,NA,NA,29
T229,1,4,2022-02-19,198,159,0.10801963993453355,26.2043,19,6,KIM,4,27,26,NA,NA,NA,NA,NA,NA,TRUE,199,5.293304824724492,26.2043,651,5,130.2,129.65415535184363,0.9958076447914258,1833,13,141,4,0.30414746543778803,0.005025125628140704,34.66981033629894,28.082546372402142,NA,51,159,3.1176470588235294,1.2271439821557928,177,1.4471066467468192,1.1163398692810458,0.18158224937961404,15,0.09433962264150944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T229,1,5,2022-02-21,315,318,0.1718494271685761,34.90591,14.14247,6,KIM,5,35,35,NA,NA,NA,NA,NA,NA,TRUE,316,5.755742213586912,34.90591,651,5,130.2,129.65415535184363,0.9958076447914258,1833,13,141,5,0.4838709677419355,0.0031645569620253164,57.80078995754717,49.62633057803805,NA,83,227,2.7349397590361444,1.0829536997669686,254,1.291146187623111,1.1187751004016064,0.18840833896321396,40,0.1762114537444934,NA,NA,NA,91,NA,,NA,NA,NA,NA,91
T229,2,1,2022-05-05,95,80,0.05182760501909438,39.19399,24.0847,6,KIM,NA,40,40,NA,NA,NA,NA,NA,NA,TRUE,96,4.564348191467836,39.19399,574,3,191.33333333333334,116.62904155197938,0.6095594506201013,1833,13,141,6,0.16550522648083624,0.010416666666666666,73.58265510733261,55.86049337269687,NA,20,62,3.1,1.3726654823065194,74,1.7800059136507325,1.1829761904761904,0.24802992107248914,7,0.11290322580645161,NA,NA,NA,18,NA,,NA,NA,NA,NA,18
T229,2,2,2022-05-07,158,167,0.0861974904528096,39.88934,22.70355,6,KIM,NA,40,40,NA,NA,NA,NA,NA,NA,TRUE,159,5.0689042022202315,39.88934,574,3,191.33333333333334,116.62904155197938,0.6095594506201013,1833,13,141,7,0.27526132404181186,0.006289308176100629,76.47259197322225,59.11059881828575,NA,48,148,3.0833333333333335,1.6351632533934424,170,2.192427328020813,1.1276785714285715,0.25265017135313533,6,0.04054054054054054,NA,NA,NA,19,NA,,NA,NA,NA,NA,19
T229,2,3,2022-05-09,321,310,0.1751227495908347,38.80191,23.50956,6,KIM,NA,40,40,NA,NA,NA,NA,NA,NA,TRUE,322,5.7745515455444085,38.80191,574,3,191.33333333333334,116.62904155197938,0.6095594506201013,1833,13,141,8,0.5592334494773519,0.003105590062111801,71.9961035463884,55.07013638548809,NA,85,262,3.0823529411764707,1.2929457387970267,297,1.54783665783174,1.136890756302521,0.19334769486658449,27,0.10305343511450382,NA,NA,NA,48,NA,,NA,NA,NA,NA,48
T229,3,1,2022-06-24,105,101,0.057283142389525366,39.8807947,24.37030905,5,KIM,1,40,41,3.5,19,8.8,7.5,6.8,07/11/22,TRUE,106,4.663439094112067,39.8807947,608,5,121.6,51.34978091481988,0.42228438252318984,1833,13,141,9,0.17269736842105263,0.009433962264150943,76.43647643824093,57.80867090331119,NA,29,75,2.586206896551724,0.7327658649308672,98,1.0827805840074194,1.3160919540229885,0.2523493876844091,8,0.10666666666666667,NA,NA,NA,26,NA,,NA,NA,NA,NA,26
T229,3,2,2022-06-26,133,34,0.07255864702673213,36.082781,30.74337748,5,KIM,2,35,37,4.43,NA,NA,NA,NA,,TRUE,134,4.897839799950911,36.082781,608,5,121.6,51.34978091481988,0.42228438252318984,1833,13,141,10,0.21875,0.007462686567164179,61.80124894733525,42.80145769610145,NA,7,28,4,1.7320508075688772,36,2.5448360411214073,1.2595238095238095,0.1928963315073532,3,0.10714285714285714,NA,NA,NA,6,NA,,NA,NA,NA,NA,6
T229,3,3,2022-06-28,66,62,0.03600654664484452,43.239514,21.88300221,5,KIM,3,44,45,2.2,NA,NA,NA,NA,,TRUE,67,4.204692619390966,43.239514,608,5,121.6,51.34978091481988,0.42228438252318984,1833,13,141,11,0.10855263157894737,0.014925373134328358,91.85048494517552,71.75084129472704,NA,17,47,2.764705882352941,0.9701425001453319,59,1.2307338795828044,1.261764705882353,0.2009322634864892,7,0.14893617021276595,NA,NA,NA,15,NA,,NA,NA,NA,NA,15
