male,date,motif_count.x,motif_count.y,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_motif_cv,song_length_sum,song_length_mean,song_length_sd,song_length_cv,song_start_min,song_start_max,song_start_range,song_start_mean,song_start_sd,song_start_cv,motifs_per_sec_mean,motifs_per_sec_sd,motifs_per_sec_cv,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,misc_motif_count,post_song_motif,notes,song_start,song_end,song_length,date_file,round,trial,trial_round,counter,temp,temp_target,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T247,2022-01-26,62,62,15,40,2.6666666666666665,1.2344267996967353,0.46291004988627577,54,3.6,1.3522468075656264,0.37562411321267397,1874,3328,1454,2411.9333333333334,651.4801243176589,0.2701070196734261,0.746031746031746,0.16514040385574544,0.22135841367897793,2,0.05,NA,NA,NA,22,NA,,NA,NA,NA,NA,1,2,2,RAS,36,35,11.1371,54.66138688005876,2,NA,NA,NA,NA,NA
T247,2022-01-28,118,119,28,77,2.75,1.2056963563450391,0.4384350386709233,96,3.4285714285714284,1.3173646934124716,0.3842313689119709,2074,3809,1735,2865.1785714285716,667.1418891544364,0.2328447852455496,0.8056547619047619,0.1474064809800459,0.18296482308568682,2,0.025974025974025976,NA,NA,NA,42,NA,,NA,NA,NA,NA,1,3,3,RAS,43.42204,42,10.53226,82.99176929117279,2,NA,NA,NA,NA,NA
T247,2022-01-30,162,159,48,129,2.6875,1.1514329647619204,0.428440172934668,171,3.5625,1.1833283388167497,0.33216234072049117,1844,3409,1565,2733.9166666666665,564.8985912884864,0.2066261192874032,0.7512152777777777,0.139273588086383,0.18539770450140192,10,0.07751937984496124,NA,NA,NA,30,NA,,NA,NA,NA,NA,1,4,4,RAS,27.1828,27,10.63978,32.86242508277273,2,NA,NA,NA,NA,NA
T247,2022-02-01,174,174,55,174,3.1636363636363636,5.445907863516648,1.7214076580081357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,5,5,RAS,41.45699,40,9.422043,75.50491260160402,2,NA,NA,NA,NA,NA
T247,2022-04-11,70,63,13,54,4.153846153846154,2.9677756498246812,0.714464508291127,65,5,2.70801280154532,0.541602560309064,1853,3292,1439,2616.6923076923076,599.0417882773824,0.22893092417338304,0.7713675213675214,0.13662687906693452,0.17712293463525028,3,0.05555555555555555,NA,NA,NA,9,NA,Sang more at the beginning of the trial/before the trial,NA,NA,NA,NA,2,6,1,KIM,39.467213,40,15.61475,63.04123467047879,2,NA,NA,NA,NA,NA
T247,2022-04-13,79,80,20,62,3.1,1.8035053587243284,0.5817759221691382,75,3.75,1.7733405882980469,0.4728908235461458,1835,3569,1734,2458.85,697.8241578386047,0.2838010280572645,0.8116071428571429,0.15410109306902992,0.18987153381442629,2,0.03225806451612903,NA,NA,NA,18,NA,,NA,NA,NA,NA,2,7,2,KIM,38.75956,40,24.4153,54.289889180203595,2,NA,NA,NA,NA,NA
T247,2022-04-15,80,85,18,70,3.888888888888889,2.8674417556808756,0.7373421657465109,79,4.388888888888889,2.61531437518432,0.595894414598959,1812,2958,1146,2340.0555555555557,459.77084729911246,0.19647860334237136,0.8425925925925926,0.16639411265491463,0.19747872710693165,1,0.014285714285714285,NA,NA,NA,15,NA,,NA,NA,NA,NA,2,8,3,KIM,39.06011,40,20.83607,57.81932897611615,2,NA,NA,NA,NA,NA
T247,2022-06-06,185,185,44,145,3.2954545454545454,2.2781014683747993,0.6912859628171805,181,4.113636363636363,2.334930994358158,0.5676075345401047,76,1761,1685,917.1136363636364,588.5184874260818,0.6417072695152182,0.8054292929292929,0.18669588271256946,0.23179673790304908,10,0.06896551724137931,NA,NA,NA,40,NA,,NA,NA,NA,NA,3,9,1,KIM,39.4045254,40,23.87969095,56.66950349748702,2,16.5,8.5,7.3,6.4,06/23/22
T247,2022-06-08,120,98,32,98,3.0625,2.1241696669978007,0.6936064218768329,120,3.75,2.079081683138325,0.55442178217022,72,1620,1548,824.8125,536.6047044808382,0.6505778034169442,0.7952008928571428,0.15394635771106002,0.19359429685489093,4,0.04081632653061224,NA,NA,NA,0,FALSE,NA,NA,NA,NA,NA,3,10,2,KIM,40.9321192,42,25.97406181,59.95708425451985,2,NA,NA,NA,NA,
T247,2022-06-10,117,86,16,74,4.625,2.84897642437888,0.6159949025684065,82,5.125,2.526525941551627,0.49298067152226865,158,1674,1516,819.8125,469.64670675590463,0.5728708781043282,0.866765873015873,0.1507657660099079,0.1739405884605553,1,0.013513513513513514,NA,NA,NA,12,NA,,NA,NA,NA,NA,3,11,3,KIM,34.5518764,35,28.36203091,40.57798573361155,2,NA,NA,NA,NA,
T247,2022-06-12,58,57,13,49,3.769230769230769,3.0318818730794397,0.8043768234700555,58,4.461538461538462,2.904461643041174,0.6510000234402631,119,1703,1584,907.9230769230769,583.3507323412537,0.6425111853288399,0.8102564102564103,0.17970377651414923,0.22178630645733607,1,0.02040816326530612,NA,NA,NA,8,NA,,NA,NA,NA,NA,3,12,4,KIM,42.6594923,44,21.36699779,69.98904739268623,2,NA,NA,NA,NA,
T247,2022-06-14,112,111,30,100,3.3333333333333335,2.154919525392895,0.6464758576178685,122,4.066666666666666,1.9286109586656033,0.4742485963931812,70,1455,1385,558.8,443.62397870579383,0.7938868623940477,0.7824603174603174,0.143956475301907,0.18397926653859706,0,0,NA,NA,NA,11,NA,,NA,NA,NA,NA,3,13,5,KIM,31.9045254,27,41.81898455,28.286486672403285,2,NA,NA,NA,NA,
T247,2022-06-16,120,109,25,99,3.96,2.745906043549196,0.6934106170578778,115,4.6,2.614064523559687,0.568274896426019,59,1411,1352,572.52,489.7033217503566,0.8553471001019294,0.8289047619047619,0.14682466752285628,0.17713092537369918,3,0.030303030303030304,NA,NA,NA,10,NA,,NA,NA,NA,NA,3,14,6,KIM,30.9961369,27,36.87748344,29.103771713840793,2,NA,NA,NA,NA,
T257,2022-07-11,176,175,47,99,2.106382978723404,0.3749807272259927,0.17802115332951168,169,3.595744680851064,0.7119958007962732,0.1980106664936381,226,1821,1595,1123.127659574468,505.7601088426975,0.45031399995466276,0.5960992907801418,0.08758796585588167,0.14693519554645232,15,0.15151515151515152,NA,NA,NA,76,NA,,NA,NA,NA,NA,3,1,1,KIM,31.2292359,27,30.86378738,32.314246545796614,1,15,8.6,7.5,6.3,07/20/22
T257,2022-07-13,169,162,41,86,2.097560975609756,0.30040622902833486,0.14321692314141546,148,3.6097560975609757,0.8330080666022329,0.2307657481803483,207,1664,1457,983.8780487804878,457.84845719527937,0.4653508204220842,0.6,0.10878112581387146,0.18130187635645245,11,0.12790697674418605,NA,NA,NA,76,NA,,NA,NA,NA,NA,3,2,2,KIM,34.1230684,35,27.02041943,40.33472803179081,1,NA,NA,NA,NA,
T257,2022-07-15,317,320,84,190,2.261904761904762,0.4937939577882008,0.21830890765373087,327,3.892857142857143,0.7917931022024333,0.20339639322631314,262,1833,1571,1102.2380952380952,430.56098511681466,0.3906243006632872,0.5878968253968254,0.0904529428819869,0.15385853261060206,25,0.13157894736842105,NA,NA,NA,130,NA,,NA,NA,NA,NA,3,3,3,KIM,41.4839956,42,19.44039735,67.25302513838241,1,NA,NA,NA,NA,
T257,2022-07-17,245,247,62,138,2.225806451612903,0.4215255214142982,0.18938103136004705,250,4.032258064516129,0.9227141350027631,0.22883310548068525,215,1834,1619,1085.1451612903227,391.61171162405384,0.36088417070246787,0.564516129032258,0.09116149279370384,0.16148607294884681,17,0.12318840579710146,NA,NA,NA,109,NA,,NA,NA,NA,NA,3,4,4,KIM,42.8068433,44,18.46357616,73.15616278044888,1,NA,NA,NA,NA,
T257,2022-07-19,253,245,73,160,2.191780821917808,0.396426196247848,0.18086945203808064,277,3.7945205479452055,0.5517372590682453,0.14540368199271447,173,1746,1573,807.4246575342465,381.6014106443841,0.47261550298666555,0.5833333333333334,0.09582326839255743,0.16426846010152701,7,0.04375,NA,NA,NA,85,NA,,NA,NA,NA,NA,3,5,5,KIM,38.8427152,40,25.66335541,53.64117290441489,1,NA,NA,NA,NA,
T258,2022-07-12,74,71,24,57,2.375,0.6468989572333266,0.2723785083087691,95,3.9583333333333335,1.3014763077790332,0.3287940145968084,562,1747,1185,1340.1666666666667,350.1200622229673,0.26125113460238825,0.6224537037037037,0.12896923165030846,0.2071948980027269,9,0.15789473684210525,NA,NA,NA,14,NA,,NA,NA,NA,NA,3,1,1,KIM,33.7229581,35,31.09988962,37.21477455080794,6,15,8.5,7.6,6.5,07/20/22
